Car_Name,count
city,26
corolla altis,16
verna,14
fortuner,11
brio,10
ciaz,9
i20,9
innova,9
grand i10,8
Royal Enfield Classic 350,7
amaze,7
jazz,7
eon,6
sx4,6
ertiga,6
swift,5
alto k10,5
i10,5
dzire,4
Royal Enfield Thunder 350,4
etios liva,4
wagon r,4
Bajaj Pulsar 150,4
ritz,4
Honda CB Hornet 160R,3
Bajaj Avenger 220,3
Yamaha FZ S V 2.0,3
xcent,3
Bajaj Pulsar NS 200,3
TVS Apache RTR 160,3
etios cross,3
etios g,3
Royal Enfield Thunder 500,3
creta,3
Honda CB Shine,2
Activa 3g,2
Bajaj Discover 125,2
elantra,2
Honda Karizma,2
Honda CB twister,2
Hero Extreme,2
Honda CBR 150,2
Yamaha FZ  v 2.0,2
Bajaj Avenger 220 dtsi,2
Hero Passion Pro,2
Hero Splender iSmart,2
TVS Apache RTR 180,2
Honda Activa 4G,2
Bajaj Pulsar 220 F,2
Royal Enfield Classic 500,2
KTM RC200,2
Hyosung GT250R,1
KTM RC390,1
Bajaj Dominar 400,1
UM Renegade Mojave,1
etios gd,1
camry,1
land cruiser,1
corolla,1
s cross,1
vitara brezza,1
alto 800,1
baleno,1
800,1
ignis,1
omni,1
KTM 390 Duke ,1
Bajaj Pulsar 135 LS,1
Honda CB Trigger,1
Yamaha FZ S ,1
Bajaj Avenger Street 220,1
Bajaj Pulsar  NS 200,1
Yamaha Fazer ,1
Honda Dream Yuga ,1
Hero Passion X pro,1
Mahindra Mojo XT300,1
Bajaj Pulsar RS200,1
Royal Enfield Bullet 350,1
Bajaj Avenger 150,1
Bajaj Avenger 150 street,1
Yamaha FZ 16,1
TVS Sport ,1
Hero Super Splendor,1
Hero Glamour,1
Suzuki Access 125,1
TVS Wego,1
Bajaj Discover 100,1
TVS Jupyter,1
Hero Honda Passion Pro,1
Hero Splender Plus,1
Hero Honda CBZ extreme,1
Honda CB Unicorn,1
Activa 4g,1
Honda Activa 125,1
Hero Hunk,1
Hero  Ignitor Disc,1
Hero  CBZ Xtreme,1
Bajaj  ct 100,1
