feature,importance
Present_Price,0.8794385375650126
Year,0.041638974308071036
Age,0.03681182338754627
Brand_LAND,0.01504900027178139
Driven_kms,0.00943922029336037
Transmission_Manual,0.005155788076163564
Brand_COROLLA,0.0030913795525281526
Selling_type_Individual,0.002367334915665349
Brand_INNOVA,0.0019023578856874302
Brand_CITY,0.0009834158920641086
Fuel_Type_Diesel,0.0008788803960034351
Fuel_Type_Petrol,0.0006615689639832899
Brand_VERNA,0.0005892824202434073
Brand_FORTUNER,0.0004591406620720559
Brand_CIAZ,0.00022614500333389373
Brand_JAZZ,0.00020713414446831542
Brand_AMAZE,0.00018657440782132243
Brand_CRETA,0.00016627966780728365
Brand_ETIOS,0.00012774310378195434
Brand_ELANTRA,8.594450462576637e-05
Brand_I10,6.268442169370754e-05
Brand_ALTO,5.992094747232803e-05
Brand_I20,5.855163542752095e-05
Brand_BRIO,5.690359368165754e-05
Brand_ERTIGA,5.389813829057269e-05
Brand_SWIFT,4.597441850385416e-05
Brand_EON,3.899177695569149e-05
Brand_GRAND,2.859072232026998e-05
Brand_ROYAL,2.6398906012300652e-05
Brand_SX4,2.3120348327901878e-05
Brand_HONDA,1.6389639968645015e-05
Brand_RITZ,1.4385361365655971e-05
Brand_XCENT,1.178625743032543e-05
Brand_WAGON,7.030513725019872e-06
Brand_DZIRE,5.683790234656474e-06
Brand_IGNIS,5.629887828324043e-06
Owner,4.5394697250173046e-06
Brand_BAJAJ,3.888547245703596e-06
Brand_KTM,3.449281971126869e-06
Brand_UM,1.5890464188856818e-06
Brand_TVS,1.5177598765004872e-06
Brand_OMNI,7.93703799017487e-07
Brand_HERO,5.773947260892218e-07
Brand_BALENO,4.507608199410089e-07
Brand_SUZUKI,4.2693925495542095e-07
Brand_YAMAHA,2.4550563050536475e-07
Brand_ACTIVA,5.5809272924325194e-08
Brand_CAMRY,0.0
Brand_HYOSUNG,0.0
Brand_MAHINDRA,0.0
Brand_S,0.0
Brand_VITARA,0.0
